"skill","avg_salary"
"svn","400000"
"solidity","179000"
"couchbase","160515"
"datarobot","155486"
"golang","155000"
"mxnet","149000"
"dplyr","147633"
"vmware","147500"
"terraform","146734"
"twilio","138500"
"gitlab","134126"
"kafka","129999"
"puppet","129820"
"keras","127013"
"pytorch","125226"
"perl","124686"
"ansible","124370"
"hugging face","123950"
"tensorflow","120647"
"cassandra","118407"
"notion","118092"
"atlassian","117966"
"bitbucket","116712"
"airflow","116387"
"scala","115480"
"linux","114883"
"confluence","114153"
"pyspark","114058"
"mongodb","113608"
"aurora","113394"
"cordova","113270"
"gcp","113065"
"spark","113002"
"splunk","112928"
"databricks","112881"
"unify","112317"
"git","112250"
"dynamodb","111840"
"snowflake","111578"
"shell","111496"
"electron","111175"
"unix","111123"
"hadoop","110888"
"pandas","110767"
"node.js","110230"
"phoenix","109259"
"php","109052"
"neo4j","108646"
"nosql","108331"
"express","108221"
"watson","108103"
"redshift","107969"
"jira","107931"
"rust","107925"
"elasticsearch","107816"
"no-sql","107405"
"numpy","107398"
"db2","107130"
"swift","107100"
"redis","107044"
"postgresql","106853"
"plotly","106603"
"aws","106440"
"c++","105696"
"alteryx","105580"
"azure","105400"
"gdpr","105329"
"bigquery","105238"
"bash","105075"
"powershell","105041"
"mongo","104274"
"scikit-learn","103932"
"looker","103855"
"jupyter","103522"
"ibm cloud","103313"
"kubernetes","103089"
"angular","102103"
"flask","101863"
"asp.net","101667"
"sqlite","101625"
"python","101512"
"github","101498"
"jenkins","101419"
"mysql","101381"
"visio","101036"
"oracle","100964"
"qlik","100933"
"java","100214"
"chainer","100000"
"theano","100000"
"matlab","99909"
"unity","99617"
"dax","99549"
"ggplot2","99416"
"matplotlib","99307"
"docker","99262"
"yarn","99150"
"seaborn","98748"
"c","98715"
"r","98708"
"django","98544"
"flow","98020"
"tableau","97978"
"node","97900"
"spring","97454"
"go","97267"
"c#","97248"
"ssis","97235"
"sql","96435"
"sql server","96191"
"mariadb","96000"
"jquery","95772"
"t-sql","95723"
"microstrategy","94486"
"vba","93845"
"sas","93707"
"webex","92500"
"sap","92446"
"power bi","92324"
"pascal","92000"
"javascript","91805"
"ssrs","91537"
"cognos","90407"
"airtable","90006"
"clickup","90000"
"zoom","89791"
"typescript","89323"
"unreal","89113"
"sharepoint","89027"
"react","88567"
"drupal","88328"
"powerpoint","88316"
"firebase","87500"
"crystal","87327"
"visual basic","86972"
"arch","86835"
"windows","86513"
"excel","86419"
"symphony","86267"
"microsoft teams","85570"
"assembly","85390"
"asana","85339"
"css","85317"
"spss","85293"
"ms access","84873"
"cobol","84745"
"html","84383"
"sheets","84130"
"terminal","83567"
"slack","83442"
"word","82941"
"chef","82825"
"selenium","82500"
"fortran","82500"
"ruby","80960"
"outlook","80680"
"monday.com","79000"
"spreadsheet","78466"
"planner","77039"
"workfront","76820"
"wrike","75000"
"julia","73680"
"npm","73419"
"dart","72674"
"erlang","72500"
"smartsheet","71221"
"tidyverse","70600"
"vb.net","69600"
"wire","68375"
"opencv","67818"
"sass","67699"
"colocation","67500"
"trello","65193"
"vue","65000"
"macos","57933"
"graphql","57009"
"ruby on rails","51059"
